date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_3,close_EMA_10,close_EMA_20,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,Dea,MACD,close_EMA_26,close_EMA_12
20101008,1.4538999808,1.4738999808,1.4238999808,1.4038999808,344.2118,1.3938999808,91629.856,4.3044695335,1.3977232797645354,1.4105336554931995,1.4010914157705237,1.4220483077269237,5.515639818492104,-1.6638485167033097,49.587273000150304,46.12702215227499,29.4782988618878,79.42446873304935,16.66666666666669,69.99999999999996,45.16129032258064,5.0581690130188806,-1.3569441794242012,-0.024846461892080146,-0.003025784791663988,1.4318132500514371,1.405453895763525
20101011,1.4838999808,1.5138999808,1.4538999808,1.4338999808,572.5404,1.4538999808,154315.4176,2.063415668,1.426448846776357,1.4472168181465999,1.4161475185031556,1.427938943257693,6.000428684340465,0.3788135069155426,121.8834688346881,59.322776672945224,39.42645813224027,99.11541375435513,14.285714285714302,73.91304347826085,51.515151515151516,8.00640523598731,0.0,-0.02350696994816561,0.010715935551316266,1.4356715264031825,1.417522524230675
20101012,1.4638999808,1.4738999808,1.4638999808,1.4438999808,219.4685,1.4838999808,58775.4688,-1.3477997344,1.4389325581175711,1.4555583994733,1.424829784375309,1.4313638039760082,2.9537942588879886,-0.9070601891393064,100.20610830054225,64.94534317878887,47.93275314775647,98.97052324085368,23.809523809523835,73.91304347826085,50.0,6.550695193080525,-0.6784720897121006,-0.021426577053759804,0.016643143155246454,1.4377625230251692,1.4246575175490326
20101013,1.4938999808,1.5038999808,1.4538999808,1.4338999808,514.1264,1.4638999808,138346.7264,2.0493203357,1.4572550323450475,1.47472919013665,1.437388001907071,1.4373196303401978,2.46930519748312,1.2607605396913608,158.90410958904124,73.45562561125607,56.44037730225634,107.48612222925553,9.523809523809534,90.90909090909089,62.50000000000002,10.34049796775061,2.04932033564243,-0.018463391448544787,0.02370548484172015,1.4419208532307122,1.4353102042030275
20101014,1.5738999808,1.6038999808,1.5138999808,1.5138999808,1327.9412,1.4938999808,370075.6992,5.3551108528,1.4961366818300317,1.5243145854683249,1.4622083617057853,1.450327282764941,5.355110852679655,6.697851080332747,597.5731620271229,78.97041707417071,63.95039055956113,109.01047010338988,10.000000000000007,90.90909090909089,75.67567567567566,19.78841645478164,11.31621770795063,-0.01378378848036424,0.03743682374544438,1.4516970849025113,1.4566317082948692
20101015,1.7338999808,1.7338999808,1.5938999808,1.5938999808,1663.7922,1.5738999808,479857.6128,10.1658302277,1.575391114820021,1.6291072831341624,1.5116068379047334,1.4773342063873276,11.871733807301945,17.274264681546143,-6805.555555555607,85.98027804944715,71.29368638952313,115.35346136929516,0.0,93.75,83.01886792452828,24.391994022760795,25.29084506509445,-0.005689558287049245,0.06475384154651995,1.4726010031171402,1.4992883656033509
20101018,1.7338999808,1.8838999808,1.7638999808,1.7238999808,1117.8602,1.7338999808,336509.0048,0.0,1.628227403480014,1.681503631967081,1.5520237729766,1.5017690420456775,8.375523570729447,17.100020482420785,-749.809581078373,82.032829044459,74.8734006078351,96.35168591770685,25.86206896551726,93.10344827586206,84.6153846153846,19.258546234104195,25.29084506509445,0.004133548831058462,0.07858485694486167,1.4919564829455,1.5353824602489894
20101019,1.7238999808,1.7438999808,1.6838999808,1.6238999808,499.6672,1.7338999808,145517.504,-0.5767345355,1.660118262586676,1.7027018063835406,1.5832739925808546,1.5229243695460892,4.358617400378617,16.25193897905273,-287.9741727199356,78.6651608834405,76.13732069970357,83.72084125091439,27.586206896551747,96.42857142857143,83.01886792452828,16.1735968128129,25.47492575086874,0.014356373651207103,0.08178259856118912,1.509137482786574,1.5643851557183757
20101020,1.7238999808,1.8038999808,1.7338999808,1.6838999808,638.1942,1.7238999808,188476.288,0.0,1.6813788353244508,1.7133008935917702,1.6088423540752446,1.5420649039512238,1.5313033920731787,16.017228822619856,-214.34761675493527,74.66566281118256,75.64676807019656,72.70345229315456,27.586206896551747,96.0,86.27450980392156,17.76077624223438,25.47492575086874,0.024261115334140042,0.07923793346346354,1.5250458159727538,1.5889258980386256
20101021,1.6238999808,1.7138999808,1.7138999808,1.5838999808,627.3212,1.7238999808,178284.1344,-5.8008005751,1.6622192171496337,1.6686004371958851,1.6115801043888367,1.5498587207939643,-4.918320800065428,9.22849275387577,-89.1598915989161,63.85118261486245,71.71490625175186,48.12373534108363,44.82758620689655,59.25925925925928,77.19298245614036,8.70205513560444,19.94238893780476,0.031796528158324386,0.060283302593474725,1.532368346700698,1.5943065261557599
20101022,1.5938999808,1.6238999808,1.6138999808,1.5538999808,406.0104,1.6238999808,113643.4048,-1.8474044187,1.6394461383664225,1.6312502089979426,1.6083655364635938,1.5540531265088249,-5.119352400911705,7.095343772243913,-33.39481126275664,54.41930692842682,65.94970647731017,31.35850783066013,50.0,0.0,69.23076923076923,1.270728778447166,21.31060233591869,0.0369007695653682,0.040833931256350486,1.5369262455228687,1.5942439807164122
20101025,1.6138999808,1.6238999808,1.5938999808,1.5438999808,469.9433,1.5938999808,131991.0912,1.2547838786,1.6309307525109482,1.6225750948989712,1.6093717990702132,1.5597528269175083,-2.5363850768153724,8.29363226144921,-21.91967324710707,49.61287128561789,60.50409474674608,27.830424363361516,46.55172413793103,12.500000000000016,66.66666666666669,-6.920814425791352,15.783054955904047,0.04044861105983988,0.028382731955773455,1.5426280036915452,1.5972679807292718
20101026,1.5438999808,1.6238999808,1.6138999808,1.5238999808,485.8251,1.6138999808,135190.3616,-4.3373195882,1.6019204952739656,1.5832375378494856,1.5974678321119926,1.558243032049174,-4.691647688178062,3.5410100382183543,8.841789766645284,35.77795022644796,52.26204657331337,2.809757532717157,59.64912280701755,9.090909090909099,55.769230769230774,-10.957956174169649,6.190247003819211,0.04162594784459075,0.00941869427800697,1.5427222242180973,1.5890575192016916
20101027,1.5438999808,1.5938999808,1.5338999808,1.5138999808,459.1104,1.5438999808,127302.08,0.0,1.5825803237826437,1.5635687593247427,1.5877282227825396,1.5568770271683003,-2.5254119884386093,3.4854883483620607,25.006684849457127,26.55466952033468,43.692920888987146,-7.7218332169702535,70.83333333333331,9.090909090909099,58.00000000000001,-10.441441035138734,4.043399203203228,0.04116090630668154,-0.003720332303273677,1.5428094654463864,1.5821102056014311
20101028,1.5838999808,1.5938999808,1.5638999808,1.5338999808,316.5194,1.5438999808,87964.0064,2.590841408,1.5830202094550956,1.5737343700623714,1.5870321787857142,1.5594506417998908,0.507646430450417,6.052895959970275,18.84106328550775,24.009419319862765,37.13175369927902,-2.2352494389697313,66.66666666666666,37.5,58.82352941176472,-8.121120805107902,8.19728134256972,0.0402351947068549,-0.00740569279861307,1.5458532073244318,1.5823855556319801
